Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::lift_fresh,,,0.58,0.58,0,0,0,0
aten::detach_,,,1.32,1.32,0,0,0,0
aten::select,,,1.13,1.99,0,0,0,0
aten::as_strided,,,0.86,0.86,0,0,0,0
aten::item,,,0.75,1.31,0,0,0,0
aten::_local_scalar_dense,,,0.56,0.56,0,0,0,0
aten::copy_,,,13.2,36.86,0,2.96,0,0
acl_memcpy_host_to_device,,,23.66,23.66,2.96,2.96,0,0
aten::detach,,,4.04,4.04,0,0,0,0
aten::to,,,1.25,1.25,0,0,0,0
aten::resolve_conj,,,0.95,0.95,0,0,0,0
aten::resolve_neg,,,0.58,0.58,0,0,0,0
aten::slice,,,4.72,8.4,0,0,0,0
aten::as_strided,,,3.68,3.68,0,0,0,0
aten::slice,,,1.8,3.7,0,0,0,0
aten::as_strided,,,1.9,1.9,0,0,0,0
aten::slice,,,2.13,2.91,0,0,0,0
aten::as_strided,,,0.78,0.78,0,0,0,0
aten::fill_,,,38.0,47.79,0,0,0,0
aclnnInplaceFillScalar,,,9.79,9.79,0,0,0,0
aten::slice,,,1.97,3.24,0,0,0,0
aten::as_strided,,,1.27,1.27,0,0,0,0
aten::fill_,,,5.62,10.01,0,0,0,0
aclnnInplaceFillScalar,,,4.39,4.39,0,0,0,0
aten::slice,,,1.61,3.39,0,0,0,0
aten::as_strided,,,1.78,1.78,0,0,0,0
aten::slice,,,1.39,2.09,0,0,0,0
aten::as_strided,,,0.7,0.7,0,0,0,0
aten::slice,,,2.14,3.66,0,0,0,0
aten::as_strided,,,1.52,1.52,0,0,0,0
aten::slice,,,3.0,4.51,0,0,0,0
aten::as_strided,,,1.51,1.51,0,0,0,0
aten::slice,,,1.27,6.57,0,0,0,0
aten::as_strided,,,5.3,5.3,0,0,0,0
aten::slice,,,1.06,1.74,0,0,0,0
aten::as_strided,,,0.68,0.68,0,0,0,0
aten::slice,,,2.86,4.35,0,0,0,0
aten::as_strided,,,1.49,1.49,0,0,0,0
aten::slice,,,1.28,1.96,0,0,0,0
aten::as_strided,,,0.68,0.68,0,0,0,0
aten::slice,,,1.08,1.71,0,0,0,0
aten::as_strided,,,0.63,0.63,0,0,0,0
aten::sub,,,15.17,15.17,0,0,0,0
aten::slice,,,0.94,2.93,0,0,0,0
aten::as_strided,,,1.99,1.99,0,0,0,0
aten::slice,,,1.55,2.02,0,0,0,0
aten::as_strided,,,0.47,0.47,0,0,0,0
aten::slice,,,1.37,2.37,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::slice,,,1.31,2.25,0,0,0,0
aten::as_strided,,,0.94,0.94,0,0,0,0
aten::to,,,0.81,0.81,0,0,0,0
aten::slice,,,1.28,2.25,0,0,0,0
aten::as_strided,,,0.97,0.97,0,0,0,0
aten::resolve_conj,,,0.45,0.45,0,0,0,0
aten::resolve_neg,,,1.02,1.02,0,0,0,0
aten::slice,,,1.23,2.24,0,0,0,0
aten::as_strided,,,1.01,1.01,0,0,0,0
aten::max,,,4.12,6.97,0,0,0,0
aten::empty,,,1.94,1.94,0,0,0,0
aten::fill_,,,0.91,0.91,0,0,0,0
aten::item,,,1.26,2.05,0,0,0,0
aten::_local_scalar_dense,,,0.79,0.79,0,0,0,0
aten::slice,,,1.35,1.85,0,0,0,0
aten::as_strided,,,0.5,0.5,0,0,0,0
aten::slice,,,1.24,3.21,0,0,0,0
aten::as_strided,,,1.97,1.97,0,0,0,0
aten::slice,,,1.39,2.11,0,0,0,0
aten::as_strided,,,0.72,0.72,0,0,0,0
aten::resolve_conj,,,0.55,0.55,0,0,0,0
aten::resolve_neg,,,0.38,0.38,0,0,0,0
aten::index,,,33.46,89.5,0,45.684,0,0
empty_tensor,,,4.19,4.19,0,0,0,0
empty_tensor,,,7.52,7.52,0,0,0,0
aclnnIndex,,,44.33,44.33,45.684,45.684,0,0
aten::unsqueeze,,,3.55,4.51,0,0,0,0
aten::as_strided,,,0.96,0.96,0,0,0,0
aten::unsqueeze,,,0.72,2.3,0,0,0,0
aten::as_strided,,,1.58,1.58,0,0,0,0
aten::index,,,14.55,43.24,0,29.602,0,0
empty_tensor,,,1.81,1.81,0,0,0,0
empty_tensor,,,2.95,2.95,0,0,0,0
aclnnIndex,,,23.93,23.93,29.602,29.602,0,0
aten::unsqueeze,,,1.37,2.23,0,0,0,0
aten::as_strided,,,0.86,0.86,0,0,0,0
aten::unsqueeze,,,0.95,1.93,0,0,0,0
aten::as_strided,,,0.98,0.98,0,0,0,0
aten::slice,,,3.01,4.55,0,0,0,0
aten::as_strided,,,1.54,1.54,0,0,0,0
aten::copy_,,,30.91,51.09,0,0.46,0,0
aclnnInplaceCopy,,,20.18,20.18,0.46,0.46,0,0
aten::slice,,,3.41,5.29,0,0,0,0
aten::as_strided,,,1.88,1.88,0,0,0,0
aten::copy_,,,40.8,55.75,0,0.48,0,0
aclnnInplaceCopy,,,14.95,14.95,0.48,0.48,0,0
aten::slice,,,2.86,4.41,0,0,0,0
aten::as_strided,,,1.55,1.55,0,0,0,0
aten::slice,,,1.62,2.43,0,0,0,0
aten::as_strided,,,0.81,0.81,0,0,0,0
aten::alias,,,6.21,6.21,0,0,0,0
aten::alias,,,1.16,1.16,0,0,0,0
aten::resolve_conj,,,5.26,5.26,0,0,0,0
aten::resolve_neg,,,0.28,0.28,0,0,0,0
aten::slice,,,2.81,5.23,0,0,0,0
aten::as_strided,,,2.42,2.42,0,0,0,0
aten::slice,,,1.57,40.45,0,0,0,0
aten::as_strided,,,38.88,38.88,0,0,0,0
aten::slice,,,35.2,36.04,0,0,0,0
aten::as_strided,,,0.84,0.84,0,0,0,0
aten::fill_,,,26.02,32.19,0,0,0,0
aclnnInplaceFillScalar,,,6.17,6.17,0,0,0,0
aten::slice,,,1.9,2.91,0,0,0,0
aten::as_strided,,,1.01,1.01,0,0,0,0
aten::fill_,,,5.95,9.24,0,0,0,0
aclnnInplaceFillScalar,,,3.29,3.29,0,0,0,0
aten::slice,,,2.42,3.67,0,0,0,0
aten::as_strided,,,1.25,1.25,0,0,0,0
aten::slice,,,1.88,7.49,0,0,0,0
aten::as_strided,,,5.61,5.61,0,0,0,0
aten::sub,,,9.49,42.99,0,2.0,0,0
empty_tensor,,,7.03,7.03,0,0,0,0
aclnnSub,,,26.47,26.47,2.0,2.0,0,0
aten::sub,,,5.68,23.5,0,1.5,0,0
empty_tensor,,,3.19,3.19,0,0,0,0
aclnnSub,,,14.63,14.63,1.5,1.5,0,0
aten::select,,,5.51,7.83,0,0,0,0
aten::as_strided,,,2.32,2.32,0,0,0,0
aten::slice,,,2.56,4.56,0,0,0,0
aten::as_strided,,,2.0,2.0,0,0,0,0
aten::copy_,,,24.44,45.88,0,0.56,0,0
aclnnInplaceCopy,,,21.44,21.44,0.56,0.56,0,0
aten::slice,,,2.69,4.07,0,0,0,0
aten::as_strided,,,1.38,1.38,0,0,0,0
aten::slice,,,2.48,3.28,0,0,0,0
